date,price
48380,0.00990597
48381,0.00990597
48383,0.00990596
48383,0.00990596
48384,0.00981107
48385,0.00981107
48386,0.00981107
48387,0.00981107
48388,0.00981107
48389,0.00981107
48390,0.00989733
48391,0.00989733
48392,0.00989732
48393,0.00989732
48394,0.00989732
48395,0.00981156
48396,0.00981156
48397,0.00989722
48398,0.00989722
48399,0.00989722
48400,0.00989715
48401,0.00989715
48402,0.00981161
48403,0.00989713
48404,0.00989713
48405,0.00989713
48406,0.00989713
48407,0.00981163
48408,0.00989706
48409,0.00989705
48410,0.00989705
48411,0.00989705
48412,0.00989705
48413,0.00989705
48415,0.00981172
48415,0.00981172
48416,0.00989701
48417,0.00989701
48418,0.00985198
48419,0.00985198
48420,0.00989697
48421,0.00989697
48422,0.00989697
48423,0.00989697
48424,0.00989694
48425,0.00985199
48426,0.00985202
48427,0.00985202
48428,0.00985205
48429,0.00985205
48430,0.00989688
48431,0.00989688
48432,0.00989688
48433,0.00989688
48434,0.00985209
48435,0.00989681
48436,0.00985210
48437,0.00985210
48438,0.00985205
48439,0.00989680
48440,0.00989680
48442,0.00985210
48442,0.00985210
48443,0.00985493
48444,0.00985493
48446,0.00985493
48446,0.00985216
48447,0.00985216
48448,0.00985216
48449,0.00985493
48450,0.00985493
48451,0.00985216
48452,0.00985216
48453,0.00985216
48454,0.00985493
48455,0.00985493
48456,0.00985493
48457,0.00985493
48458,0.00985216
48459,0.00985216
48460,0.00985216
48461,0.00985216
48462,0.00985493
48463,0.00985493
48464,0.00985493
48465,0.00985216
48466,0.00985216
48467,0.00985217
48468,0.00985493
48469,0.00985493
48471,0.00985497
48471,0.00985493
48472,0.00985497
48473,0.00989000
48474,0.00986001
48475,0.00986000
48476,0.00986001
48477,0.00986001
48478,0.00986001
48479,0.00986001
48480,0.00986500
48482,0.00986500
48482,0.00986500
48483,0.00986500
48484,0.00986504
48485,0.00988988
48486,0.00988988
48487,0.00988988
48488,0.00988988
48489,0.00988988
48491,0.00987500
48491,0.00987500
48492,0.00988984
48493,0.00987006
48494,0.00987005
48495,0.00987005
48497,0.00988980
48497,0.00988977
48498,0.00988977
48499,0.00988977
48500,0.00988973
48501,0.00986801
48502,0.00988972
48503,0.00988972
48504,0.00988972
48506,0.00986800
48506,0.00986800
48507,0.00988965
48508,0.00988965
48510,0.00988965
48510,0.00988965
48511,0.00988965
48512,0.00988965
48514,0.00988965
48514,0.00988965
48515,0.00988965
48517,0.00988965
48517,0.00988965
48518,0.00988999
48519,0.00988999
48520,0.00988999
48521,0.00988999
48522,0.00987801
48523,0.00987801
48524,0.00988999
48525,0.00988999
48526,0.00988999
48528,0.00987801
48528,0.00988999
48529,0.00988999
48530,0.00988999
48531,0.00987801
48532,0.00987801
48533,0.00987801
48534,0.00987800
48536,0.00986804
48536,0.00986804
48537,0.00986801
48538,0.00985496
48539,0.00985499
48540,0.00985496
48541,0.00985496
48542,0.00985496
48543,0.00985496
48544,0.00986801
48545,0.00986801
48546,0.00986801
48547,0.00985493
48548,0.00986800
48549,0.00986800
48550,0.00986800
48551,0.00985493
48552,0.00985493
48553,0.00985493
48555,0.00985493
48555,0.00985493
48557,0.00985493
48557,0.00985493
48558,0.00981534
48559,0.00981537
48560,0.00984995
48561,0.00984995
48563,0.00981500
48563,0.00981111
48564,0.00981111
48566,0.00981111
48566,0.00981111
48568,0.00981111
48569,0.00981536
48569,0.00981536
48571,0.00981536
48571,0.00981536
48572,0.00981536
48573,0.00981536
48574,0.00981092
48575,0.00970000
48577,0.00984974
48578,0.00978800
48578,0.00980000
48579,0.00979999
48580,0.00978799
48581,0.00978799
48583,0.00979999
48583,0.00979999
48584,0.00979999
48586,0.00979995
48586,0.00979995
48587,0.00979995
48589,0.00977000
48590,0.00979992
48591,0.00975971
48592,0.00975971
48593,0.00979978
48594,0.00979978
48595,0.00977000
48595,0.00979973
48597,0.00979973
48598,0.00979973
48598,0.00975973
48599,0.00975973
48600,0.00975973
48601,0.00979969
48603,0.00979969
48604,0.00979969
48605,0.00979969
48606,0.00979733
48607,0.00979733
48608,0.00979733
48608,0.00979728
48610,0.00979728
48611,0.00979727
48612,0.00977000
48613,0.00977000
48614,0.00979727
48615,0.00979727
48616,0.00979724
48617,0.00977000
48618,0.00977000
48618,0.00979720
48619,0.00977500
48621,0.00977500
48622,0.00977500
48623,0.00979000
48624,0.00978999
48625,0.00978999
48626,0.00972436
48627,0.00977500
48628,0.00978996
48629,0.00972441
48630,0.00972441
48631,0.00978996
48632,0.00978993
48633,0.00978993
48634,0.00977000
48635,0.00977000
48636,0.00977000
48637,0.00977000
48638,0.00977000
48639,0.00972457
48640,0.00976000
48641,0.00975997
48642,0.00976000
48643,0.00976000
48644,0.00976000
48645,0.00975997
48646,0.00976000
48647,0.00976000
48648,0.00976000
48649,0.00976000
48650,0.00976000
48651,0.00976000
48652,0.00976000
48653,0.00975999
48654,0.00976000
48655,0.00976000
48656,0.00976000
48657,0.00976000
48658,0.00975990
48659,0.00975990
48660,0.00975990
48661,0.00975990
48662,0.00975990
48663,0.00975990
48664,0.00975990
48665,0.00975990
48666,0.00975801
48667,0.00975990
48668,0.00975990
48669,0.00975801
48670,0.00976000
48671,0.00976000
48672,0.00976000
48673,0.00975980
48674,0.00976000
48675,0.00975801
48676,0.00976000
48677,0.00976000
48678,0.00975980
48679,0.00975801
48680,0.00975801
48681,0.00976000
48682,0.00976000
48683,0.00975990
48684,0.00975990
48685,0.00976049
48686,0.00976049
48687,0.00976049
48688,0.00977000
48689,0.00976053
48690,0.00976053
48691,0.00976053
48692,0.00976053
48693,0.00976052
48694,0.00976052
48695,0.00976052
48696,0.00976052
48697,0.00976052
48698,0.00976055
48699,0.00976055
48700,0.00976055
48701,0.00976055
48702,0.00976055
48703,0.00978127
48704,0.00978124
48705,0.00976059
48706,0.00976059
48707,0.00978124
48708,0.00976063
48709,0.00976063
48710,0.00976064
48711,0.00976064
48712,0.00976064
48713,0.00976064
48714,0.00976066
48715,0.00976066
48716,0.00978114
48717,0.00976066
48718,0.00976066
48719,0.00978114
48720,0.00978114
48721,0.00976066
48722,0.00976066
48723,0.00976066
48724,0.00978140
48725,0.00976068
48726,0.00978130
48727,0.00978130
48728,0.00976068
48729,0.00978130
48730,0.00978130
48731,0.00978130
48732,0.00978130
48733,0.00979579
48734,0.00978130
48735,0.00981500
48736,0.00979990
48737,0.00979990
48738,0.00979990
48739,0.00979579
48740,0.00979990
48741,0.00979990
48742,0.00979579
48743,0.00979990
48744,0.00981500
48745,0.00981500
48746,0.00979579
48747,0.00979579
48748,0.00981500
48749,0.00979990
48750,0.00981490
48751,0.00981490
48752,0.00981490
48753,0.00981490
48754,0.00980000
48755,0.00981300
48756,0.00981300
48757,0.00981490
48758,0.00980000
48759,0.00981490
48760,0.00981500
48761,0.00981500
48762,0.00980000
48763,0.00981490
48764,0.00980000
48765,0.00980000
48766,0.00980000
48767,0.00980000
48768,0.00980000
48769,0.00981489
48770,0.00981489
48771,0.00978342
48772,0.00978342
48773,0.00981490
48774,0.00983767
48775,0.00983767
48776,0.00980003
48777,0.00980003
48778,0.00981500
48779,0.00983755
48780,0.00983754
48781,0.00980009
48782,0.00980009
48783,0.00980009
48784,0.00980009
48785,0.00983754
48786,0.00983754
48787,0.00980015
48788,0.00980015
48789,0.00980015
48790,0.00980015
48791,0.00983765
48792,0.00983765
48793,0.00983765
48794,0.00983765
48795,0.00983765
48796,0.00980503
48797,0.00980503
48798,0.00980504
48799,0.00980504
48800,0.00983764
48801,0.00983764
48802,0.00982046
48803,0.00982046
48804,0.00982046
48805,0.00982046
48806,0.00981013
48807,0.00981013
48808,0.00983753
48809,0.00981015
48810,0.00981015
48811,0.00983694
48812,0.00983694
48813,0.00983694
48814,0.00983694
48815,0.00981490
48816,0.00981490
48818,0.00981490
48818,0.00981490
48819,0.00981492
48820,0.00983679
48821,0.00983679
48822,0.00981494
48823,0.00981498
48824,0.00981498
48825,0.00981498
48826,0.00983674
48827,0.00981500
48828,0.00983663
48829,0.00983663
48830,0.00983662
48831,0.00981505
48832,0.00981505
48833,0.00983661
48834,0.00981506
48835,0.00981506
48836,0.00983664
48837,0.00983664
48838,0.00983775
48839,0.00983775
48840,0.00983775
48841,0.00983775
48842,0.00983775
48843,0.00981654
48844,0.00986591
48845,0.00986591
48846,0.00981660
48847,0.00981660
48848,0.00981660
48849,0.00981660
48850,0.00981661
48851,0.00981661
48852,0.00981661
48853,0.00985000
48854,0.00985000
48855,0.00985000
48856,0.00986578
48857,0.00985000
48858,0.00985000
48859,0.00985001
48860,0.00985001
48861,0.00985001
48862,0.00985006
48863,0.00986581
48864,0.00986591
48865,0.00986591
48866,0.00985001
48867,0.00985001
48868,0.00985001
48869,0.00985007
48870,0.00986571
48872,0.00986571
48872,0.00986571
48874,0.00986571
48874,0.00985001
48875,0.00985001
48876,0.00985001
48877,0.00986571
48878,0.00985004
48879,0.00985004
48880,0.00985004
48881,0.00985004
48882,0.00986571
48883,0.00986571
48884,0.00986571
48886,0.00986571
48886,0.00986571
48887,0.00986571
48888,0.00986571
48889,0.00986571
48890,0.00986571
48891,0.00986591
48892,0.00986591
48893,0.00986571
48894,0.00986571
48895,0.00986571
48896,0.00986571
48897,0.00986571
48898,0.00986571
48899,0.00986581
48901,0.00986581
48901,0.00986581
48902,0.00986571
48903,0.00986571
48904,0.00986591
48905,0.00986591
48906,0.00986573
48907,0.00986573
48908,0.00986573
48909,0.00986581
48910,0.00986581
48911,0.00986581
48912,0.00986573
48913,0.00986573
48914,0.00986573
48915,0.00986573
48916,0.00986802
48917,0.00986802
48918,0.00986802
48919,0.00986573
48920,0.00986573
48921,0.00986581
48922,0.00986581
48923,0.00986578
48924,0.00986578
48925,0.00986578
48926,0.00986573
48927,0.00986581
48928,0.00986581
48930,0.00985501
48930,0.00985501
48931,0.00986964
48932,0.00986000
48933,0.00986000
48934,0.00986000
48935,0.00986954
48936,0.00986954
48937,0.00986954
48938,0.00986954
48939,0.00989000
48940,0.00989000
48941,0.00989000
48942,0.00986464
48943,0.00989000
48944,0.00989000
48945,0.00989000
48946,0.00989000
48947,0.00989000
48948,0.00989000
48949,0.00987000
48950,0.00988990
48951,0.00988990
48952,0.00987000
48953,0.00987001
48954,0.00987001
48955,0.00988990
48956,0.00987500
48957,0.00987500
48958,0.00987500
48959,0.00989000
48960,0.00987500
48961,0.00988990
48962,0.00988990
48963,0.00988990
48964,0.00988990
48965,0.00988990
48966,0.00988990
48967,0.00988990
48968,0.00987500
48969,0.00987500
48970,0.00988990
48971,0.00988990
48972,0.00986021
48973,0.00990597
48974,0.00990597
48975,0.00986503
48976,0.00986506
48977,0.00986506
48978,0.00990597
48979,0.00986507
48980,0.00986507
48981,0.00986507
48982,0.00986507
48983,0.00986507
48984,0.00986990
48985,0.00986990
48986,0.00990000
48987,0.00990000
48988,0.00990000
48989,0.00990000
48990,0.00990000
48991,0.00990000
48992,0.00990000
48993,0.00990000
48995,0.00990000
48996,0.00990001
48996,0.00990001
48997,0.00990001
48998,0.00990001
49001,0.00990001
49002,0.00990001
49002,0.00990001
49003,0.00991833
49003,0.00991833
49005,0.00992000
49006,0.00992000
49006,0.00992000
49007,0.00992000
49008,0.00992000
49009,0.00991999
49011,0.00991999
49011,0.00991999
49013,0.00998000
49014,0.00998000
49014,0.00998151
49015,0.00998151
49017,0.00998151
49017,0.00999100
49018,0.00997999
49019,0.00999728
49021,0.00999728
49022,0.00999728
49023,0.01000000
49024,0.01000000
49025,0.01000000
49026,0.01000000
49027,0.01003750
49027,0.01003199
49029,0.01003750
49029,0.01000001
49031,0.01005044
49031,0.01005738
49032,0.01000503
49033,0.01000503
49035,0.01001503
49036,0.01005043
49037,0.01001504
49037,0.01002001
49039,0.01002001
49040,0.01009552
49041,0.01010000
49042,0.01010000
49043,0.01010000
49044,0.01002009
49045,0.01011000
49046,0.01011000
49047,0.01011000
49048,0.01011000
49049,0.01010000
49050,0.01010000
49051,0.01010000
49052,0.01009997
49053,0.01010000
49054,0.01009997
49055,0.01008374
49056,0.01002020
49057,0.01002021
49058,0.01002024
49059,0.01002024
49060,0.01002025
49061,0.01009994
49062,0.01009994
49063,0.01009994
49064,0.01002029
49065,0.01002030
49066,0.01002030
49067,0.01002035
49068,0.01002035
49069,0.01002035
49070,0.01002035
49071,0.01005000
49072,0.01002038
49073,0.01002284
49074,0.01002039
49075,0.01002039
49076,0.01002288
49077,0.01002288
49078,0.01002288
49079,0.01002892
49080,0.01002893
49081,0.01002894
49082,0.01002894
49083,0.01002897
49084,0.01002897
49085,0.01003401
49086,0.01003404
49087,0.01003405
49088,0.01003500
49089,0.01003500
49090,0.01003500
49091,0.01004944
49092,0.01004944
49093,0.01004948
49094,0.01004949
49095,0.01004949
49096,0.01006928
49097,0.01006928
49098,0.01006928
49099,0.01006931
49100,0.01006934
49101,0.01009992
49102,0.01006934
49103,0.01006934
49104,0.01006934
49105,0.01006934
49106,0.01006931
49107,0.01006931
49108,0.01009800
49109,0.01009984
49110,0.01009796
49111,0.01009796
49112,0.01004966
49113,0.01006931
49114,0.01006931
49115,0.01006934
49116,0.01006934
49117,0.01009791
49118,0.01009791
49119,0.01009788
49120,0.01009787
49121,0.01004969
49122,0.01004969
49123,0.01004969
49124,0.01002888
49125,0.01002888
49126,0.01002888
49127,0.01009783
49128,0.01009783
49129,0.01009780
49130,0.01002891
49131,0.01002892
49132,0.01006917
49133,0.01006917
49135,0.01005000
49135,0.01005000
49136,0.01002894
49137,0.01009775
49138,0.01009773
49139,0.01002898
49140,0.01002898
49141,0.01009773
49142,0.01002902
49143,0.01002903
49144,0.01002903
49145,0.01004887
49146,0.01004887
49147,0.01004890
49148,0.01002903
49149,0.01002903
49150,0.01002903
49151,0.01002903
49152,0.01005264
49153,0.01005264
49154,0.01009757
49155,0.01009757
49156,0.01005265
49157,0.01002903
49158,0.01002903
49159,0.01002903
49160,0.01009749
49161,0.01002904
49162,0.01002904
49163,0.01002905
49164,0.01002904
49165,0.01002904
49166,0.01002904
49167,0.01002904
49168,0.01002904
49169,0.01009742
49170,0.01009742
49171,0.01009742
49172,0.01009742
49173,0.01009738
49174,0.01009738
49175,0.01009738
49176,0.01002904
49177,0.01002904
49178,0.01009732
49179,0.01009732
49180,0.01009728
49181,0.01002904
49182,0.01002904
49183,0.01002904
49184,0.01002904
49185,0.01003000
49186,0.01009724
49187,0.01003000
49188,0.01009720
49189,0.01009720
49190,0.01009720
49191,0.01003000
49192,0.01003000
49193,0.01009698
49194,0.01003000
49195,0.01003000
49196,0.01003000
49197,0.01003000
49198,0.01003000
49199,0.01003000
49201,0.01006929
49201,0.01006929
49202,0.01006929
49203,0.01006929
49204,0.01006929
49205,0.01006925
49206,0.01006925
49207,0.01006925
49208,0.01006925
49209,0.01003000
49210,0.01003000
49211,0.01002020
49212,0.01002020
49213,0.01002020
49214,0.01002020
49215,0.00999864
49216,0.00999864
49217,0.00999864
49218,0.00998965
49219,0.00998965
49220,0.00998965
49221,0.00998966
49222,0.00998966
49223,0.00999801
49224,0.00999801
49225,0.00999801
49226,0.01000000
49227,0.01000000
49228,0.00998965
49229,0.00998965
49230,0.00998965
49231,0.00998965
49232,0.00998967
49233,0.01001394
49234,0.01001394
49235,0.01001391
49236,0.01001391
49237,0.01001391
49238,0.00998966
49239,0.00998965
49240,0.00998965
49241,0.00998965
49242,0.00998965
49243,0.00998965
49244,0.00998965
49245,0.00998965
49246,0.00998203
49247,0.00998900
49248,0.00998900
49249,0.00998203
49250,0.00998893
49251,0.00998893
49252,0.00998900
49253,0.00998203
49254,0.00998203
49255,0.00997297
49256,0.00997297
49257,0.00997888
49258,0.00996936
49259,0.00996936
49260,0.00996937
49261,0.00996859
49262,0.00996859
49263,0.00995014
49264,0.00995014
49265,0.00995014
49266,0.00995014
49267,0.00995014
49268,0.00995014
49269,0.00995014
49270,0.00995014
49271,0.00996900
49272,0.00995014
49273,0.00995014
49274,0.00995014
49275,0.00994588
